EXP_ID,Stage,Condition,Area,%Area,Nb of nuclei,Arborization length per cell
Batch1,DIV3,Control,722826.778,2.438,109,161.6744665
Batch1,DIV3,Control,722826.778,2.762,105,190.1378629
Batch1,DIV3,Control,722826.778,2.13,72,213.8362552
Batch1,DIV3,Control,722826.778,3.647,175,150.6371005
Batch1,DIV3,Control,722826.778,2.53,76,240.62523
Batch1,DIV3,Control,722826.778,2.376,102,168.3761201
Batch1,DIV3,Control,722826.778,3.551,134,191.5490962
Batch1,DIV3,Control,722826.778,2.404,77,225.6721525
Batch1,DIV3,Control,722826.778,2.943,123,172.9495291
Batch1,DIV3,Control,722826.778,2.815,117,173.9108872
Batch1,DIV3,Control,722826.778,3.241,106,221.0076969
Batch1,DIV3,Control,722826.778,3.911,120,235.5812941
Batch1,DIV3,DZA,722826.778,0.656,113,41.96233331
Batch1,DIV3,DZA,722826.778,0.703,120,42.34560208
Batch1,DIV3,DZA,722826.778,0.391,73,38.71579044
Batch1,DIV3,DZA,722826.778,0.718,88,58.97609393
Batch1,DIV3,Spastazoline,722826.778,3.418,144,171.5709672
Batch1,DIV3,Spastazoline,722826.778,2.995,126,171.8147778
Batch1,DIV3,Spastazoline,722826.778,2.822,98,208.1446089
Batch1,DIV3,Spastazoline,722826.778,1.936,56,249.8915433
Batch1,DIV3,Taxol,722826.778,2.068,109,137.1381447
Batch1,DIV3,Taxol,722826.778,1.626,56,209.877918
Batch1,DIV3,Taxol,722826.778,2.161,105,148.764635
Batch1,DIV3,Taxol,722826.778,2.029,108,135.7977345
Batch1,DIV3,Trichostatin,722826.778,2.412,94,185.4742754
Batch1,DIV3,Trichostatin,722826.778,2.65,100,191.5490962
Batch1,DIV3,Trichostatin,722826.778,2.152,63,246.9084486
Batch1,DIV3,Trichostatin,722826.778,3.107,134,167.5987164
Batch1,DIV7,Control,722826.778,4.414,82,389.0923656
Batch1,DIV7,Control,722826.778,5.047,102,357.6575244
Batch1,DIV7,Control,722826.778,5.908,74,577.0892709
Batch1,DIV7,Control,722826.778,7.359,139,382.6821769
Batch1,DIV7,Control,722826.778,4.558,72,457.5895075
Batch1,DIV7,Control,722826.778,7.389,217,246.1275144
Batch1,DIV7,Control,722826.778,4.855,131,267.8873288
Batch1,DIV7,Control,722826.778,4.956,95,377.087317
Batch1,DIV7,Control,722826.778,5.965,107,402.9590403
Batch1,DIV7,Control,722826.778,5.529,93,429.732178
Batch1,DIV7,Control,722826.778,5.477,86,460.339798
Batch1,DIV7,Control,722826.778,5.372,98,396.2270869
Batch2,DIV3,Control,722826.778,3.313,96,249.4505329
Batch2,DIV3,Control,722826.778,3.27,112,211.0396039
Batch2,DIV3,Control,722826.778,3.05,89,247.7103003
Batch2,DIV3,Control,722826.778,4.223,135,226.1109247
Batch2,DIV3,Control,722826.778,3.572,126,204.9156548
Batch2,DIV3,Control,722826.778,2.626,93,204.1014106
Batch2,DIV3,Control,722826.778,3.089,123,181.5294242
Batch2,DIV3,Control,722826.778,3.057,81,272.8001803
Batch2,DIV3,Control,722826.778,3.016,108,201.8560706
Batch2,DIV3,Control,722826.778,3.806,150,183.4052478
Batch2,DIV3,Control,722826.778,4.821,181,192.5275081
Batch2,DIV3,DZA,722826.778,0.866,95,65.89136734
Batch2,DIV3,DZA,722826.778,1.085,64,122.5417272
Batch2,DIV3,DZA,722826.778,0.736,65,81.84623209
Batch2,DIV3,DZA,722826.778,0.878,81,78.35085322
Batch2,DIV3,DZA,722826.778,0.786,100,56.81418475
Batch2,DIV3,DZA,722826.778,0.787,115,49.46649342
Batch2,DIV3,Spastazoline,722826.778,3.444,123,202.3914978
Batch2,DIV3,Spastazoline,722826.778,4.827,126,276.9114966
Batch2,DIV3,Spastazoline,722826.778,5.075,157,233.652605
Batch2,DIV3,Spastazoline,722826.778,4.655,163,206.4269111
Batch2,DIV3,Spastazoline,722826.778,4.44,173,185.5116124
Batch2,DIV3,Taxol,722826.778,3.704,216,123.9514067
Batch2,DIV3,Taxol,722826.778,3.11,151,148.8735947
Batch2,DIV3,Taxol,722826.778,1.982,98,146.188028
Batch2,DIV3,Taxol,722826.778,2.568,106,175.1150157
Batch2,DIV3,Taxol,722826.778,2.777,128,156.8195283
Batch2,DIV3,Taxol,722826.778,2.329,106,158.8173175
Batch2,DIV3,Trichostatin,722826.778,3.371,82,297.1523254
Batch2,DIV3,Trichostatin,722826.778,4.29,167,185.6842442
Batch2,DIV3,Trichostatin,722826.778,3.363,108,225.0802273
Batch2,DIV3,Trichostatin,722826.778,3.205,91,254.5780026
Batch2,DIV7,Control,722826.778,7.922,121,473.2424575
Batch2,DIV7,Control,722826.778,6.401,107,432.4125426
Batch2,DIV7,Control,722826.778,8.491,107,573.600203
Batch2,DIV7,Control,722826.778,8.834,116,550.469979
Batch2,DIV7,Control,722826.778,9.031,187,349.0828146
Batch2,DIV7,Control,722826.778,9.137,190,347.6035932
Batch2,DIV7,Control,722826.778,8.012,165,350.9871603
Batch2,DIV7,Control,722826.778,7.647,91,607.4127881
Batch2,DIV7,Control,722826.778,5.77,93,448.4634956
Batch2,DIV7,Control,722826.778,7.569,125,437.6860706
Batch2,DIV7,Control,722826.778,7.288,73,721.6385696
Batch3,DIV3,Control,722826.778,3.546,114,224.8371715
Batch3,DIV3,Control,722826.778,3.399,115,213.6424538
Batch3,DIV3,Control,722826.778,3.365,137,177.5410298
Batch3,DIV3,Control,722826.778,3.563,148,174.0156628
Batch3,DIV3,Control,722826.778,3.647,133,198.2067112
Batch3,DIV3,Control,722826.778,3.74,137,197.3264343
Batch3,DIV3,Control,722826.778,2.939,95,223.619779
Batch3,DIV3,Control,722826.778,4.016,140,207.3480243
Batch3,DIV3,Control,722826.778,4.501,201,161.8628521
Batch3,DIV3,Control,722826.778,3.505,99,255.9098845
Batch3,DIV3,Control,722826.778,3.893,166,169.5159426
Batch3,DIV3,DZA,722826.778,0.807,90,64.81346776
Batch3,DIV3,DZA,722826.778,2.092,117,129.2438991
Batch3,DIV3,DZA,722826.778,1.702,112,109.843855
Batch3,DIV3,DZA,722826.778,2.497,99,182.3129762
Batch3,DIV3,DZA,722826.778,0.947,108,63.38119989
Batch3,DIV3,DZA,722826.778,1.159,140,59.83973112
Batch3,DIV3,Spastazoline,722826.778,3.756,108,251.3830906
Batch3,DIV3,Spastazoline,722826.778,3.302,117,203.9977796
Batch3,DIV3,Spastazoline,722826.778,3.109,102,220.3204365
Batch3,DIV3,Spastazoline,722826.778,3.718,130,206.7284585
Batch3,DIV3,Taxol,722826.778,2.93,119,177.9733159
Batch3,DIV3,Taxol,722826.778,3.205,133,174.1849491
Batch3,DIV3,Taxol,722826.778,3.036,122,179.8772211
Batch3,DIV3,Taxol,722826.778,3.088,133,167.8262474
Batch3,DIV3,Trichostatin,722826.778,4.524,154,212.3421002
Batch3,DIV3,Trichostatin,722826.778,3.956,153,186.8956035
Batch3,DIV3,Trichostatin,722826.778,3.751,121,224.0763012
Batch3,DIV3,Trichostatin,722826.778,4.04,143,204.2112016
Batch3,DIV7,Control,722826.778,6.91,88,567.5832995
Batch3,DIV7,Control,722826.778,9.6,180,385.5076149
Batch3,DIV7,Control,722826.778,6.446,92,506.4501534
Batch3,DIV7,Control,722826.778,7.231,101,517.5010328
Batch3,DIV7,Control,722826.778,8.457,128,477.5739111
Batch3,DIV7,Control,722826.778,8.462,179,341.7072735
Batch3,DIV7,Control,722826.778,7.64,153,360.9409532
Batch3,DIV7,Control,722826.778,7.42,119,450.7037557
Batch3,DIV7,Control,722826.778,9.647,182,383.1379081
Batch3,DIV7,Control,722826.778,4.878,102,345.6812768
Batch3,DIV7,Control,722826.778,4.605,79,421.3439636
Batch3,DIV7,Control,722826.778,5.439,107,367.4256865
