EXP_ID,Condition,Stage,Marker,Area cells,Mean in Cells,Mean/Area,Mean in FOV
Batch1,DZ-2384,DIV3,DAPI,17048.789,8878.792,0.520787254,1744.638
Batch1,DZ-2384,DIV3,DAPI,19632.441,9454.859,0.481593654,1732.602
Batch1,DZ-2384,DIV3,DAPI,11477.533,9252.557,0.806145101,2092.423
Batch1,DZ-2384,DIV3,DAPI,19837.865,6869.436,0.346278997,1478.261
Batch1,Control,DIV3,DAPI,78177.508,4420.142,0.056539817,2237.593
Batch1,Control,DIV3,DAPI,96653.93,3787.655,0.039187801,2035.016
Batch1,Control,DIV3,DAPI,60627.57,4037.827,0.066600509,2159.806
Batch1,Control,DIV3,DAPI,132106.062,5359.305,0.040568199,2977.087
Batch1,Control,DIV3,DAPI,78143.047,3392.69,0.043416403,1768.897
Batch1,Control,DIV3,DAPI,87853.109,4632.971,0.052735425,2606.4
Batch1,Control,DIV3,DAPI,167165.969,5147.175,0.030790806,3509.283
Batch1,Control,DIV3,DAPI,83628.133,3114.537,0.037242694,1853.803
Batch1,Control,DIV3,DAPI,118364.047,3164.573,0.026735931,1672.905
Batch1,Control,DIV3,DAPI,98431.742,3135.464,0.031854196,1646.006
Batch1,Control,DIV3,DAPI,120663.688,3514.118,0.029123244,2110.866
Batch1,Control,DIV3,DAPI,177240,4116.296,0.023224419,3161.314
Batch1,Spastazoline,DIV3,DAPI,159211.656,4638.241,0.029132547,2957.23
Batch1,Spastazoline,DIV3,DAPI,128313.992,3715.908,0.028959492,2075.783
Batch1,Spastazoline,DIV3,DAPI,111110.102,2615.733,0.023541811,1577.873
Batch1,Spastazoline,DIV3,DAPI,60852.297,2616.501,0.042997572,1533.961
Batch1,Taxol,DIV3,DAPI,71186.211,5251.37,0.073769483,2364.693
Batch1,Taxol,DIV3,DAPI,49924.168,3012.189,0.060335287,1422.317
Batch1,Taxol,DIV3,DAPI,71497.102,4862.211,0.068005707,2301.651
Batch1,Taxol,DIV3,DAPI,61978.68,5255.917,0.084802016,3172.669
Batch1,Trichostatin,DIV3,DAPI,81200.273,3439.037,0.04235253,1683.266
Batch1,Trichostatin,DIV3,DAPI,100717.594,3634.433,0.036085383,2014.05
Batch1,Trichostatin,DIV3,DAPI,67979.398,3606.061,0.05304638,2081.42
Batch1,Trichostatin,DIV3,DAPI,122118.195,4292.215,0.035148038,2669.823
Batch1,Control,DIV7,DAPI,129829.859,2658.51,0.020476877,1844.694
