EXP_ID,GENOTYPE,CONDITION,TRACK_MEAN_SPEED (um/min),TRACK_MAX_SPEED (um/min),TRACK_DURATION (min),TRACK_DISPLACEMENT (um),TOTAL_DISTANCE_TRAVELED (um),CONFINEMENT_RATIO
Batch1,NEUR1,Control,0.095340051,0.272400145,65,0.681000362,4.767002536,0.142857143
Batch1,NEUR1,Control,0.190680101,0.272400145,25,3.405001811,4.767002536,0.714285714
Batch1,NEUR1,Control,0.203652094,0.799816006,300,3.668366573,61.09562813,0.060043029
Batch1,NEUR1,Control,0.145695964,0.35958041,300,4.823900548,43.70878925,0.110364543
Batch1,NEUR1,Control,0.261397887,0.738911923,85,2.749550708,22.21882037,0.123748726
Batch1,NEUR1,Control,0.252221494,0.659141013,300,4.749656296,75.66644808,0.062770969
Batch1,NEUR1,Control,0.173800241,0.573566868,300,3.037996779,52.14007233,0.058266064
Batch1,NEUR1,Control,0.349531158,0.924555872,300,68.42121433,104.8593474,0.652504675
Batch1,NEUR1,Control,0.387358531,1.267855913,300,51.89379672,116.2075594,0.446561282
Batch1,NEUR1,Control,0.215078562,0.674962125,300,24.41802131,64.52356855,0.378435692
Batch1,NEUR1,Control,0.270796072,0.855557927,300,29.72947672,81.23882171,0.365951599
Batch1,NEUR1,Control,0.217095015,0.477729179,300,16.60177236,65.12850461,0.254907931
Batch1,NEUR1,Control,0.202748069,0.579961917,300,5.369550489,60.82442061,0.088279517
Batch1,NEUR1,Control,0.106983624,0.206993621,45,0.75128481,4.353801026,0.17255837
Batch1,NEUR1,Control,0.414204516,1.377515847,300,37.59448155,124.2613549,0.302543631
Batch1,NEUR1,Control,0.327102311,0.820730435,300,12.79863921,98.13069315,0.130424425
Batch1,NEUR1,Control,0.253240693,1.390438841,300,23.28779741,75.97220791,0.306530481
Batch1,NEUR1,Control,0.284443725,0.826152966,200,39.1090594,54.60399492,0.716230735
Batch1,NEUR1,Control,0.349607507,1.12531315,295,76.20694932,103.1342147,0.738910453
Batch1,NEUR1,Control,0.493117168,1.135017705,300,81.71194172,148.410485,0.550580653
Batch1,NEUR1,Control,0.219552689,1.110400793,300,28.24949532,65.86580677,0.428894698
Batch1,NEUR1,Control,0.230405115,0.696015124,300,5.716468426,69.12153446,0.0827017
