EXP_ID,Stage,Condition,Area,Circ.,AR,Round,Solidity
Batch1,DIV3,Control,66.177,0.722,2.379,0.42,0.865
Batch1,DIV3,Control,64.798,0.909,1.697,0.589,0.917
Batch1,DIV3,Control,68.934,0.868,1.068,0.936,0.87
Batch1,DIV3,Control,122.014,0.619,2.143,0.467,0.829
Batch1,DIV3,Control,62.73,0.91,1.431,0.699,0.897
Batch1,DIV3,Control,31.71,0.46,1.622,0.617,0.681
Batch1,DIV3,Control,66.177,0.899,1.813,0.552,0.937
Batch1,DIV3,Control,66.866,0.832,2.045,0.489,0.902
Batch1,DIV3,Control,37.224,1,1.074,0.931,0.939
Batch1,DIV3,Control,60.662,0.741,1.948,0.513,0.871
Batch1,DIV3,Control,66.866,0.563,2.892,0.346,0.732
Batch1,DIV3,Control,58.594,0.822,1.863,0.537,0.872
Batch1,DIV3,Control,60.662,0.813,1.847,0.542,0.889
Batch1,DIV3,Control,63.419,0.846,1.672,0.598,0.929
Batch1,DIV3,Control,65.487,0.815,1.925,0.52,0.884
Batch1,DIV3,Control,70.313,0.955,1.357,0.737,0.927
Batch1,DIV3,Control,79.964,0.825,1.577,0.634,0.903
Batch1,DIV3,Control,66.866,0.951,1.252,0.798,0.933
Batch1,DIV3,Control,73.76,0.732,2.129,0.47,0.892
Batch1,DIV3,Control,73.07,0.645,2.154,0.464,0.819
Batch1,DIV3,Control,68.245,0.767,1.777,0.563,0.865
Batch1,DIV3,Control,73.07,0.831,2.013,0.497,0.91
Batch1,DIV3,Control,93.061,0.834,1.589,0.629,0.871
Batch1,DIV3,Control,71.692,0.563,3.134,0.319,0.812
Batch1,DIV3,Control,51.011,0.92,1.216,0.822,0.902
Batch1,DIV3,Control,68.934,0.615,2.925,0.342,0.847
Batch1,DIV3,Control,73.07,0.574,3.089,0.324,0.831
Batch1,DIV3,Control,43.429,0.844,1.575,0.635,0.881
Batch1,DIV3,Control,27.574,0.887,1.247,0.802,0.833
Batch1,DIV3,Control,64.798,0.922,1.202,0.832,0.913
Batch1,DIV3,Control,42.05,0.877,1.328,0.753,0.891
Batch1,DIV3,Control,73.76,0.953,1.037,0.964,0.951
Batch1,DIV3,Control,51.011,0.969,1.076,0.929,0.931
Batch1,DIV3,Control,110.984,0.717,1.917,0.522,0.861
Batch1,DIV3,Control,72.381,0.869,1.377,0.726,0.942
Batch1,DIV3,Control,75.138,0.766,2.079,0.481,0.883
Batch1,DIV3,Control,81.342,0.849,1.646,0.607,0.911
Batch1,DIV3,Control,25.506,1,1.074,0.931,0.881
Batch1,DIV3,Control,71.692,0.876,1.398,0.715,0.916
Batch1,DIV3,Control,73.76,0.917,1.571,0.637,0.911
Batch1,DIV3,Control,66.866,0.983,1.074,0.931,0.933
Batch1,DIV3,Control,87.546,0.662,2.687,0.372,0.87
Batch1,DIV3,Control,64.798,0.909,1.603,0.624,0.913
Batch1,DIV3,Control,149.587,0.687,2.021,0.495,0.827
Batch1,DIV3,Control,76.517,0.789,1.985,0.504,0.877
Batch1,DIV3,Control,32.399,0.993,1.002,0.998,0.887
Batch1,DIV3,Control,66.866,0.73,2.118,0.472,0.878
Batch1,DIV3,Control,70.313,0.777,1.939,0.516,0.895
Batch1,DIV3,Control,51.011,0.92,1.314,0.761,0.902
Batch1,DIV3,Control,44.118,0.998,1.014,0.986,0.914
Batch1,DIV3,Control,84.789,0.732,2.215,0.452,0.882
Batch1,DIV3,Control,83.41,0.895,1.574,0.635,0.927
Batch1,DIV3,Control,70.313,0.914,1.417,0.706,0.915
Batch1,DIV3,Control,117.877,0.772,1.847,0.542,0.898
Batch1,DIV3,Control,59.973,0.943,1.041,0.961,0.888
Batch1,DIV3,Control,90.304,0.749,2.186,0.458,0.91
Batch1,DIV3,Control,78.585,0.948,1.321,0.757,0.919
Batch1,DIV3,Control,79.274,0.876,1.656,0.604,0.924
Batch1,DIV3,Control,68.245,0.776,2.166,0.462,0.917
Batch1,DIV3,Control,66.177,0.86,1.758,0.569,0.893
Batch1,DIV3,Control,50.322,0.907,1.243,0.805,0.89
Batch1,DIV3,Control,75.138,0.754,2.267,0.441,0.905
Batch1,DIV3,Control,37.224,0.975,1.14,0.878,0.908
Batch1,DIV3,Control,87.546,0.709,2.367,0.422,0.898
Batch1,DIV3,Control,67.556,0.948,1.206,0.829,0.916
Batch1,DIV3,Control,39.292,1,1.242,0.805,0.919
Batch1,DIV3,Control,75.828,0.752,1.843,0.543,0.887
Batch1,DIV3,Control,26.884,1,1.096,0.913,0.907
Batch1,DIV3,Control,79.964,0.825,1.909,0.524,0.896
Batch1,DIV3,Control,89.614,0.833,1.88,0.532,0.915
Batch1,DIV3,Control,95.819,0.795,1.936,0.517,0.9
Batch1,DIV3,Control,86.857,0.881,1.238,0.808,0.926
Batch1,DIV3,Control,95.129,0.77,2.002,0.5,0.911
Batch1,DIV3,Control,86.857,0.689,2.621,0.382,0.887
Batch1,DIV3,Control,68.934,0.896,1.239,0.807,0.889
Batch1,DIV3,Control,57.905,0.88,1.152,0.868,0.903
Batch1,DIV3,Control,64.798,0.909,1.66,0.603,0.926
Batch1,DIV3,Control,87.546,0.745,1.915,0.522,0.858
Batch1,DIV3,Control,75.828,0.998,1.095,0.914,0.94
Batch1,DIV3,Control,78.585,0.883,1.458,0.686,0.905
Batch1,DIV3,Control,78.585,0.932,1.14,0.877,0.931
Batch1,DIV3,Control,88.925,0.773,2.143,0.467,0.935
Batch1,DIV3,Control,91.682,0.909,1.451,0.689,0.927
Batch1,DIV3,Control,79.274,0.88,1.098,0.911,0.881
Batch1,DIV3,Control,126.15,0.726,2.119,0.472,0.906
Batch1,DIV3,Control,101.333,0.748,2.324,0.43,0.91
Batch1,DIV3,Control,73.76,0.864,1.407,0.711,0.892
Batch1,DIV3,Control,85.478,0.882,1.455,0.687,0.908
Batch1,DIV3,Control,77.896,0.826,1.668,0.599,0.9
Batch1,DIV3,Control,96.508,0.821,1.595,0.627,0.903
Batch1,DIV3,Control,62.73,0.954,1.401,0.714,0.919
Batch1,DIV3,Control,74.449,0.872,1.658,0.603,0.915
Batch1,DIV3,Control,75.138,0.788,2.135,0.468,0.897
Batch1,DIV3,Control,84.1,0.892,1.173,0.853,0.917
Batch1,DIV3,Control,42.05,0.992,1.228,0.814,0.904
Batch1,DIV3,Control,71.002,0.906,1.344,0.744,0.928
Batch1,DIV3,Control,69.624,0.76,2.01,0.498,0.878
Batch1,DIV3,Control,82.032,0.846,1.767,0.566,0.919
Batch1,DIV3,Control,91.682,0.8,1.853,0.54,0.905
Batch1,DIV3,Control,86.857,0.848,1.522,0.657,0.916
Batch1,DIV3,Control,73.76,0.971,1.29,0.775,0.939
Batch1,DIV3,Control,79.274,0.865,1.35,0.741,0.898
Batch1,DIV3,Control,37.224,0.993,1.222,0.818,0.939
Batch1,DIV3,Control,71.002,0.923,1.227,0.815,0.896
Batch1,DIV3,Control,81.342,0.898,1.487,0.672,0.933
Batch1,DIV3,Control,28.263,0.997,1.3,0.769,0.932
Batch1,DIV3,Control,100.644,0.736,1.955,0.512,0.851
Batch1,DIV3,Control,46.186,0.892,1.604,0.624,0.937
Batch1,DIV3,Control,91.682,0.862,1.557,0.642,0.905
Batch1,DIV3,Control,87.546,0.678,1.637,0.611,0.814
Batch1,DIV3,Control,116.499,0.638,2.209,0.453,0.816
Batch1,DIV3,Control,72.381,0.953,1.112,0.899,0.925
Batch1,DIV3,Control,35.156,0.921,1.171,0.854,0.872
Batch1,DIV3,Control,57.905,0.924,1.32,0.758,0.908
Batch1,DIV3,Control,44.118,0.857,1.583,0.632,0.848
Batch1,DIV3,Control,59.973,0.894,1.444,0.693,0.926
Batch1,DIV3,Control,53.769,0.902,1.552,0.644,0.934
Batch1,DIV3,Control,57.905,0.88,1.787,0.56,0.908
Batch1,DIV3,Control,57.905,0.863,1.711,0.585,0.928
Batch1,DIV3,Control,64.798,0.827,1.692,0.591,0.9
Batch1,DIV3,Control,68.934,0.731,2.246,0.445,0.858
Batch1,DIV3,Control,54.458,0.874,1.198,0.835,0.873
Batch1,DIV3,Control,62.041,0.859,1.186,0.843,0.874
Batch1,DIV3,Control,67.556,0.948,1.278,0.782,0.907
Batch1,DIV3,Control,148.209,0.637,2.076,0.482,0.887
Batch1,DIV3,Control,95.129,0.736,1.222,0.818,0.826
